City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
122,Celestun,20.8667,-90.4,83.86,68,0,8.59,MX,2022-03-31 15:48:47,clear sky
123,Matagami,49.7502,-77.6328,32.11,100,100,6.91,CA,2022-03-31 15:48:47,moderate rain
124,Lasa,46.6166,10.7002,52.7,95,100,3.65,IT,2022-03-31 15:48:48,overcast clouds
125,Airai,-8.9266,125.4092,57.54,88,9,1.86,TL,2022-03-31 15:48:48,clear sky
126,Majene,-3.5403,118.9707,78.08,86,98,3.87,ID,2022-03-31 15:48:48,overcast clouds
127,New Norfolk,-42.7826,147.0587,54.9,67,60,1.7,AU,2022-03-31 15:48:48,broken clouds
128,Oriximina,-1.7656,-55.8661,79.84,80,99,1.41,BR,2022-03-31 15:48:49,overcast clouds
129,San Quintin,30.4833,-115.95,59.85,73,99,12.59,MX,2022-03-31 15:48:49,overcast clouds
130,Hualmay,-11.0964,-77.6139,74.41,74,57,8.88,PE,2022-03-31 15:48:49,broken clouds
131,Vila Franca Do Campo,37.7167,-25.4333,64.81,78,99,6.17,PT,2022-03-31 15:48:50,overcast clouds
132,Ankazoabo,-22.2833,44.5167,77.83,47,2,8.84,MG,2022-03-31 15:48:50,clear sky
133,Vao,-22.6667,167.4833,78.62,85,2,10.83,NC,2022-03-31 15:48:50,clear sky
134,Isangel,-19.55,169.2667,80.51,86,91,5.64,VU,2022-03-31 15:48:50,overcast clouds
135,Talnakh,69.4865,88.3972,15.21,94,71,5.35,RU,2022-03-31 15:48:51,broken clouds
136,Souillac,-20.5167,57.5167,79.18,73,75,18.41,MU,2022-03-31 15:48:51,broken clouds
137,Khatanga,71.9667,102.5,3.38,95,36,6.69,RU,2022-03-31 15:48:51,scattered clouds
138,Vestmanna,62.1564,-7.1664,36.52,56,100,6.91,FO,2022-03-31 15:49:52,overcast clouds
139,Pisco,-13.7,-76.2167,70.02,68,0,11.5,PE,2022-03-31 15:49:52,clear sky
140,Kenora,49.8167,-94.4337,23.97,74,100,10.36,CA,2022-03-31 15:49:52,overcast clouds
141,Barrow,71.2906,-156.7887,-16.58,69,0,14.97,US,2022-03-31 15:49:53,clear sky
142,Hithadhoo,-0.6,73.0833,83.46,69,7,4.81,MV,2022-03-31 15:49:38,clear sky
143,Margate,51.3813,1.3862,42.31,63,100,18.99,GB,2022-03-31 15:49:53,overcast clouds
144,Paamiut,61.994,-49.6678,33.78,91,100,7.25,GL,2022-03-31 15:49:53,overcast clouds
145,Yulara,-25.2406,130.9889,71.44,28,65,8.05,AU,2022-03-31 15:49:53,broken clouds
146,Constitucion,-35.3333,-72.4167,64.94,42,0,11.3,CL,2022-03-31 15:49:54,clear sky
147,Dieppe,49.75,1.1667,39.33,91,93,1.99,FR,2022-03-31 15:49:54,light rain
148,Topeka,39.0483,-95.678,34.18,79,100,14.97,US,2022-03-31 15:49:54,overcast clouds
149,Touros,-5.1989,-35.4608,82.0,76,99,11.81,BR,2022-03-31 15:49:55,overcast clouds
