City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
226,Booue,GA,79.09,light rain,-0.0921,11.9385,Splendeur de l'équateur
234,Paita,PE,74.53,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
238,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
240,Wanning,CN,74.91,overcast clouds,18.8003,110.3967,Paradise Hotel
249,Mathbaria,BD,80.17,clear sky,22.2876,89.9593,Shikdar Hotel
250,Dovers,VC,80.19,scattered clouds,12.8833,-61.1833,Ocean Breeze
252,Key West,US,86.0,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
254,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
256,Geraldton,AU,73.81,moderate rain,-28.7667,114.6,Broadwater Mariner Resort
257,Tulagi,SB,82.71,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
259,Orangeburg,US,73.36,light rain,33.4918,-80.8557,Fairfield Inn by Marriott Orangeburg
261,Dingle,PH,77.45,broken clouds,10.9995,122.6711,Vaccinated Staff - OYO 236 Hotel Edmundo
262,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Scenic Matavai Resort Niue
265,Lorengau,PG,79.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
266,San Policarpo,PH,80.49,scattered clouds,12.1791,125.5072,Kirum-Kirum Resort and Hotel
269,Victoria,HK,73.96,few clouds,22.2855,114.1577,Mini Hotel Central
270,Sola,VU,82.0,light rain,-13.8833,167.55,Leumerus Bungalows
271,Buckeye,US,72.43,clear sky,33.3703,-112.5838,Days Inn by Wyndham Buckeye
272,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
274,Halvad,IN,84.16,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
275,Najran,SA,77.65,clear sky,17.4924,44.1277,Kosoor Al Nasrya Aparthotel
277,Minab,IR,82.2,clear sky,27.1467,57.0801,Bam campground
278,Huarmey,PE,75.16,overcast clouds,-10.0681,-78.1522,Hotel Miramar
279,Giyon,ET,73.15,few clouds,8.5333,37.9833,Negash Lodge
283,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,La Bohème
291,Uige,AO,80.62,thunderstorm,-7.6087,15.0613,Hotel Catraio
293,Kloulklubed,PW,79.45,overcast clouds,7.0419,134.2556,Carp Island Resort
294,Vitoria Do Mearim,BR,80.83,overcast clouds,-3.4622,-44.8706,HOTEL VITÓRIA IMPORTADOS
297,Amboasary,MG,74.14,clear sky,-25.0333,46.3833,Le Bon Samaritain
